SISATEXT_CMD_FAILED								"<Command Failed>"
SISATEXT_ROOM_ACCESS_PRIVATE				"Private  Channel"
SISATEXT_CONNECT_FAILED 						"Error 1001: Could not connect to the EverQuest server!  Please try again shortly."
SISATEXT_PATCH_FAILED        			"Error 1002: Incorrect version!!\nRun the patch program to ensure you have the current version.\n"
SISATEXT_HANDLE_INUSE 							"Error 1003: The Chat Handle you specified is already assigned or contains illegal characters!\n\nPlease select another username."
SISATEXT_NONEWS		 								"\n\n\nError 1004: The News file was not found in the EverQuest directory."
SISATEXT_NOHELP		 								"\n\n\nError 1005: The Help file was not found in the EverQuest directory."
SISATEXT_NO_ROOM_NAME 							"Error 1006: You did not specify a Channel Name to Create!"
SISATEXT_NO_PASSWORD	 							"Error 1007: You did not specify a Password for your Private Channel!"
SISATEXT_FAILED_CREATE_ROOM 				"Error 1008: The channel could not be created. Maybe it already exists?"
SISATEXT_REGISTER_DLOAD_FAILED 		"Error 1009: Error contacting the Registration Server.\n\nPlease try again later!"
SISATEXT_ENTER_ROOM	 							"You have entered %s%s."
SISATEXT_INFO_PROMPT	 							"Select the information you require:     NEWS or HELP..."
SISATEXT_NOHOST	       			 			"Error 1010: No host was found!\nCheck that the file EQHOST.TXT exists in the EverQuest directory.\n"
SISATEXT_WRONG_ENTER_PASSWORD 			"Error 1011: Invalid Password! You may not enter the Private Channel!"
SISATEXT_QUIT_PROMPT	 							"You are about to Exit EverQuest!\nAre you sure?"
SISATEXT_LOGIN_CANCELED 						"Error 1012: This account has been flagged as CANCELLED!"
SISATEXT_LOGIN_SUBSCRIBE						"Error 1013: You are not currently subscribed!\nYou must choose a subscription plan before your free month will begin.\nDo you want to subscribe NOW or LATER?"
SISATEXT_LOGIN_EXPIRED  						"Error 1014: You are not currently subscribed! Either you have not chosen a subscription plan or we could not bill to the account you provided. Note: Your characters are saved for 3 months.\nDo you want to subscribe NOW or LATER?"
SISATEXT_SERVER_SELECTED						"Server selected:"
SISATEXT_SERVER_NAME	       				"Server Name"
SISATEXT_SERVER_LATENCY						"Server Latency"
SISATEXT_SERVER_PLAYERS						"Players Online"
SISATEXT_SORTALPHA									"Sort Alphabetically"
SISATEXT_SORTLATENCY								"Sort By Latency"
SISATEXT_SORTPLAYER								"Sort By Number of Players"
SISATEXT_CHPASS_ERROR							"CHANGE PASSWORD\n\nYou must enter a new password of at least 4 characters, and you must retype the password as confirmation!"
SISATEXT_OLDPASS_ERROR							"Error 1015: You did not enter your existing password correctly!"
SISATEXT_PASSWORD_EMAILED 					"Your registration was successful.  You may now CONNECT to EverQuest!"
SISATEXT_REGTIMEOUT								"Error 1016: Lost connection to server.\nCANCEL back to main screen and try to CONNECT to EverQuest. If you cannot, please try again in a short while."
SISATEXT_VALIDATING_REG						"Validating Registration information...\n\nPlease wait... This may take some time..."
SISATEXT_VALIDATING_BILLING 				"Validating Billing information...\n\nPlease wait... This may take some time.."
SISATEXT_BILLING_FINISHED 					"Thank you for subscribing to EverQuest."
SISATEXT_CONNECTING								"Connecting to EverQuest server:\n\n %s......"
SISATEXT_CHOOSEDEVICE							"Select a video driver..."
SISATEXT_EQ_ERROR_RETURN		 				"Error 1017: Cannot login to the EverQuest server.\n\nYou may need to re-run the Update Patch. Repeatedly seeing this message indicates a loss of connectivity to the Patch Server. This is usually temporary."
SISATEXT_EQ_LINKDEAD_RETURN				"Error 1018: You currently have an active character on that EverQuest Server, please allow a minute for synchronization and try again."
SISATEXT_TEXTFILE_ERROR						"Error 1019: Failed to locate or open %s!\n\n"
SISATEXT_WORLD_DOWN								"\nError 1020: Your chosen World Server is DOWN.\n\nPlease select another."
