Name	Zone Name	Level	HP	Race	Class	Position(s)
Aagron	Eastern Plains of Karana	35	2010	Human	Warrior	(-636,-52)
Aanina Rockfinder	North Kaladim	38 - 42	3210 - 3290	Citizen, Kaladim	Shopkeeper	(401,-155)
Aarina Ratsbone	South Kaladim	38 - 41	3210 - 3270	Citizen, Kaladim	Shopkeeper	(183,-137)
abandoned heretic pet	Toxxulia Forest	7 - 9	170 - 210	Skeleton	Warrior	(-2394,-163), (1191,-853), (1155,-865)
Abec Ianor	Plane of Sky	55	32000	Dark Elf	Warrior	(1305,585)
abhorrent, an	Plane of Hate	49	10100 - 10350	Gargoyle	Rogue	(-372,-252), (65,232), (-265,-348)
Abigail	Rathe Mountains	28	1074 - 1124	High Elf	Paladin	(2944,-828)
Abrod	Lake Rathetear	35	1675	Citizen, Qeynos	Shopkeeper	(-432,657)
accountant, an	High Keep	45	3205	Human	Wizard	(-56,-292)
Accure Nedorn	Paineel	35	1300	Ghost, Erudite	Warrior	(783,836)
Ace Slighthand	Rivervale	15	317	Citizen, Rivervale	Rogue	(-59,-190)
Adax Rhengst	South Qeynos	30	1295	Human	Paladin	(-148,-486)
Admiral Tylix	The Overthere	59	30000	Erollisi	Shadow Knight	(2889,2210)
Adon McMarrin	Halas	40	3250	Citizen, Halas	Warrior	(567,-364)
Adrian	Eastern Plains of Karana	35	2010	Human	Warrior	(1324,-2681)
Aenia Ghenson	North Qeynos	13	330	Human	Rogue	(-88,-67)
Aeris Greymalkyn	High Keep	37	1189	Human	Necromancer	(65,-318)
Aglthin Dasmore	Toxxulia Forest	8	221	Erudite	Warrior	(473,-460)
Agryn Moonfield	Erudin Palace	30	1150	Citizen, Erudin	Shopkeeper	(728,833)
Aija	Lake Rathetear	8 - 10	190 - 230	Barbarian	Warrior	(775,2393)
Aimie Moonspin	North Freeport	45	5875	Citizen, Qeynos	Shopkeeper	(-51,-243)
Ainla Yurimar	East Freeport	45	6059 - 6219	Citizen, Qeynos	Shopkeeper	(-159,-271)
air elemental, an	East Commonlands	9 - 11	220 - 260	Elemental	Warrior	(-794,1570), (-670,135), (-1607,680)
Alania Peaceheart	Greater Faydark	45	9002	Wood Elf	Druid	(1015,1046)
Alanury Stormhammer	South Kaladim	39 - 42	3230 - 3290	Citizen, Kaladim	Shopkeeper	(137,232)
Albain Tinderbrand	Rathe Mountains	16	525 - 529	Half-Elf	Druid	(5059,1809)
Alec Greenglade	North Freeport	45	5875	Half-Elf	Shopkeeper	(-93,-127)
Alec McMarrin	Halas	40	3250	Citizen, Halas	Warrior	(-32,-2)
Aleena Lightleaf	Greater Faydark	40	3250 - 3350	Guard, Faydark	Shopkeeper	(-398,492)
Alex McDarnin	Firiona Vie	49	10431	Barbarian	Shaman	(-3796,1654)
Alga Bruntbuckler	Butcherblock Mountains	38 - 42	3210 - 3290	Citizen, Kaladim	Shopkeeper	(-1184,-1956)
algae snake, an	Lake Rathetear	4 - 6	80 - 120	Snake, Giant	Warrior	(2277,-1183), (3223,80), (286,-109)
Alice Sweetoven	Rivervale	35	1675	Citizen, Rivervale	Shopkeeper	(-229,-420)
Allia Moondancer	Northern Felwithe	40	3250	High Elf	Shopkeeper	(0,-444)
alligator, an	Lake Rathetear	3 - 5	50 - 90	Alligator	Warrior	(2818,768), (2351,-850), (-172,704)
alligator, an	Lost Temple of CazicThule	20 - 33	630 - 1507	Alligator	Warrior	(145,-99), (107,-233), (101,21), (423,53), (420,11), (491,6), (781,168), (761,312), (920,-48), (71,0)
Allix	Kerra Isle	13	254	Kerra	Monk	(-148,273)
Allizewsaur	Ocean of Tears	50	14325	Lizard Man	Warrior	(-2888,-795)
alluring siren, an	Ocean of Tears	12 - 13	205 - 330	Mermaid	Bard	(215,9435), (547,9277)
Altha Shadowjumper	Rivervale	35	1675	Citizen, Rivervale	Shopkeeper	(-245,-359)
Altrusan Belstince	Erudin	24	770	Citizen, Erudin	Shopkeeper	(-1104,-212)
Altunic Jartin	East Commonlands	20	610	Citizen, Qeynos	Shopkeeper	(723,2949)
Alun Bilgum	Butcherblock Mountains	35	1675	Dwarf	Warrior	(2806,-693)
Alysa Eltern	Erudin	35	1675	Erudite	Shopkeeper	(-708,-55)
Alysa	Western Plains of Karana	45	5875	Citizen, Qeynos	Shopkeeper	(426,-4362)
Amata D`Lavi	North Freeport	45	5875 - 5945	Citizen, Qeynos	Shopkeeper	(102,313)
Ambassador DVinn	Crushbone	20 - 21	630	Dark Elf	Warrior	(76,-71)
Ambassador K`Ryn	Oggok	25 - 26	810 - 830	Dark Elf	Warrior	(352,1139)
Amber	North Freeport	45	5875	Citizen, Qeynos	Shopkeeper	(-183,202)
Amygdalan knight	Plane of Fear	48 - 52	13044 - 13124	Denizen	Shadow Knight	(-558,588), (-383,-577), (745,405), (842,339), (186,-388)
Amygdalan warrior	Plane of Fear	48 - 52	14285 - 14365	Denizen	Warrior	(-965,-824), (162,358), (747,465), (872,457), (837,309)
Analya	Western Plains of Karana	45	5875	Barbarian	Shopkeeper	(-4033,-2488)
ancient croc, an	Guk	30	1150	Alligator	Warrior	(1653,462)
ancient cyclops, an	Southern Desert of Ro	30	1736	Giant/Cyclops	Warrior	(310,622)
ancient Jarsath, an	Firiona Vie	42	4000	Iksar Skeleton	Monk	(433,-1693)
ancient wyvern, an	Skyfire Mountains	60	32000	Iksar Golem	Warrior	(-3532,2298)
ancille cook, an	Castle Mistmoore	31 - 37	1103 - 1754	Dark Elf	Shadow Knight	(-270,-102), (-245,-102)
Andane Starinen	Erudin Palace	24	770	Citizen, Erudin	Shopkeeper	(864,737)
Anderia	Western Plains of Karana	5 - 6	100 - 120	Human	Warrior	(-3724,-9255)
Andres McMarrin	Halas	40	3250	Citizen, Halas	Warrior	(277,-257)
Anehan Treol	South Qeynos	23	730	Human	Bard	(-191,-129)
Anelia Thrywiel	Lesser Faydark	35	1675	Half-Elf	Shopkeeper	(-312,1249)
Angrog	Oggok	40	3250	Citizen, Oggok	Shopkeeper	(-242,-1)
Ania Klephia	North Qeynos	45	5875	Citizen, Qeynos	Shopkeeper	(115,359)
Anite Gemcutter	Erudin Palace	45	5875	Erudite	Shopkeeper	(784,598)
Ankhefenmut	Rathe Mountains	40	6500	Sphinx	Enchanter	(3476,-3303)
Ankhesenaten	Rathe Mountains	7 - 9	170 - 210	Beetle	Warrior	(1729,383)
Ankhetperure	Rathe Mountains	7 - 9	170 - 210	Beetle	Warrior	(1491,93)
Ankhnesmerira	Rathe Mountains	7 - 9	170 - 210	Beetle	Warrior	(1495,232)
Antian F`Lok	Neriak - Commons	40	3250	Citizen, Neriak	Banker	(46,-917)
Antinime	Ocean of Tears	22 - 24	710 - 750	Half-Elf	Warrior	(360,-9375)
Antus Shelbra	Paineel	50 - 61	32000	Erudite	GM Necromancer	(762,829)
apparition, an	The City of Mist	36 - 40	2454 - 2534	Erollisi	Warrior	(-240,-473), (-174,356), (-233,-625), (-219,-532), (-152,-528), (133,-352), (242,-365)
apparition, an	The City of Mist	37 - 41	2811 - 2891	Iksar Scorpion	Warrior	(-240,-473), (-174,356), (-233,-625), (-219,-532), (-152,-528), (133,-352), (242,-365)
aqua goblin bosun	Dagnor's Cauldron	17 - 19	510 - 550	Goblin	Warrior	(-563,-1507), (854,-2132), (576,-554), (211,-576)
aqua goblin mariner	Dagnor's Cauldron	12 - 14	310 - 370	Goblin	Warrior	(674,-1126), (-400,-619), (-1183,-1874), (-926,-1557), (-731,-1603), (-431,15)
aqua goblin prisoner	Kedge Keep	8 - 12	200 - 280	Goblin	Warrior	(-242,-231), (-339,-189), (-342,-113)
aqua goblin sacrifice	Ocean of Tears	6 - 10	140 - 230	Goblin	Warrior	(-3248,-903), (-3618,-1479), (-3580,-1308), (-3199,-786), (-3486,-1198)
aqua goblin shaman, an	Butcherblock Mountains	8 - 12	124 - 224	Goblin	Shaman	(1229,3163), (2570,1549), (1262,1559), (1572,1342), (1224,3226)
aqua goblin shaman, an	Lake Rathetear	8 - 11	142 - 204	Goblin	Shaman	(1938,2339), (2505,922), (-919,2664)
aqua goblin shaman	Dagnor's Cauldron	15 - 17	307 - 347	Goblin	Shaman	(-2,589), (-370,-157), (-515,90)
aqua goblin tidal lord	Dagnor's Cauldron	22 - 24	730 - 770	Goblin	Warrior	(648,-1900), (-1099,-958), (970,-294), (-1467,-1389)
aqua goblin wizard, an	Butcherblock Mountains	13 - 17	184 - 264	Goblin	Wizard	(1336,1561), (1626,1434), (1977,1509), (1771,1540), (1680,1232)
aqua goblin, an	Butcherblock Mountains	4 - 10	80 - 230	Goblin	Warrior	(1633,1564), (1555,1222), (2143,1225), (1891,1463), (1703,1217), (1242,3196), (1263,3118)
aqua goblin, an	Lake Rathetear	8 - 12	220 - 368	Goblin	Warrior	(2801,-131), (2727,-189), (2670,639), (2813,179), (2792,143)
aqua goblin, an	Ocean of Tears	6 - 10	140 - 230	Goblin	Warrior	(-3593,-1547), (-3067,-686), (-2875,-1429), (854,9106), (903,9199)
Arch Duke Xog	Cabilis East	61	32000	Iksar	GM ShadowKnight	(1014,-188)
Archenm	Paineel	50	9550	Skeleton	Warrior	(945,829)
Ardiflah Steadirt	North Freeport	45	5875	Dwarf	Shopkeeper	(-26,482)
Arem Ulosia	North Freeport	33 - 61	1407 - 32250	Human	GM Paladin	(75,414)
Argyn Shieldstan	Qeynos Aqueduct System	30	1150	Human	Warrior	(217,-303)
Arial Fern	Firiona Vie	45	6123	Wood Elf	Shopkeeper	(-3238,2257)
Arinna Trueblade	West Freeport	37 - 61	2179 - 32000	Human	GM Warrior	(-245,-230)
armadillo, an	Northern Desert of Ro	2	32	Armadillo	Warrior	(3176,98)
armadillo, an	Oggok	2	32	Armadillo	Warrior	(133,335)
Armorer Dellin	West Freeport	40	3250	Guard, Freeport	Warrior	(-86,-134)
army behemoth, an	The City of Mist	42	3711	Raptor	Warrior	(22,387)
Arnis McLish	Everfrost	2 - 4	28 - 68	Barbarian	Warrior	(-1598,-167), (-1323,-612)
Arrivae Valleren	Surefall Glade	45	5875	Citizen, Qeynos	Shopkeeper	(-159,-300)
Arthon Spiritsight	South Qeynos	30	1389	Human	Paladin	(-224,-462)
