; Weapons List for EQNumbers
; Format: weapon name, damage, delay, hands
; Notice I got these weapons from the EQ'lizer website
; http://gameznet.com/eq
; Lines that start with a * will show up in the program
; WARNING: In order for the Quick Jump buttons to work in the program
; The existing lines that start with a * must not be changed!

*
* 1-Handed Slashing Weapons
*
Barbed Leather Whip, 7, 28, 1
Demon Claws, 5, 19, 1
Blood Fire, 11, 24, 1
Crystalline Sword, 11, 38, 1
Dwarven Axe, 6, 26, 1
Ebony Blade, 7, 24, 1
Electrum-Bladed Wakizashi, 7, 21, 1
Ghoulbane, 15, 34, 1
Giant Rat Tail, 5, 27, 1
Gladius, 7, 29, 1
Minotaur Battle Axe, 8, 37, 1
Obsidian Scimitar, 7, 27, 1
Ogre Meat Cleaver, 5, 33, 1
Painbringer, 7, 23, 1
Polished Granite Tomahawk, 6, 26, 1
Runed Falchion, 11, 34, 1
Scrounge's Claw, 5, 30, 1
Serrated Blade, 6, 28, 1
Short Sword of Ykesha, 8, 24, 1
Silverish Scimitar, 6, 22, 1
Silvery War Axe, 6, 22, 1
Spined Dragon Claws, 10, 21, 1
Tentacle Whip, 4, 25, 1
*
* More Common 1h Slashing
*
Axe, 6, 31, 1
Bastard Sword, 6, 39, 1
Battle axe, 7, 35, 1
Broad Sword, 6, 32, 1
Bronze Axe, 5, 33, 1
Bronze Bastard Sword, 7, 42, 1
Bronze Battle Axe, 6, 37, 1
Bronze Broad Sword, 5, 32, 1
Bronze Long Sword, 5, 32, 1
Bronze Scimitar, 5, 32, 1
Bronze Short Sword, 4, 27, 1
Combine Long Sword, 6, 28, 1
Combine Scimitar, 5, 24, 1
Combine Short Sword, 4, 23, 1
Fine Steel Long Sword, 6, 28, 1
Fine Steel Scimitar, 5, 24, 1
Fine Steel Short Sword, 4, 23, 1
Leather Whip, 5, 30, 1
Long Sword, 6, 29, 1
Pick, 6, 36, 1
Rusty Axe, 5, 36, 1
Rusty Bastard Sword, 6, 42, 1
Rusty Battle Axe, 6, 42, 1
Rusty Broad Sword, 5, 36, 1
Rusty Long Sword, 5, 35, 1
Rusty Scimitar, 5, 35, 1
Rusty Short Sword, 4, 28, 1
Scimitar, 5, 25, 1
Short Sword, 4, 24, 1
Tarnished Axe, 5, 34, 1
Tarnished Bastard Sword, 6, 40, 1
Tarnished Battle Axe, 6, 40, 1
Tarnished Broad Sword, 5, 34, 1
Tarnished Long Sword, 5, 33, 1
Tarnished Mining Pick, 4, 36, 1
Tarnished Scimitar, 5, 33, 1
Tarnished Short Sword, 4, 26, 1
*
