Updated EverQuest Server DNS listing as of : 05-08-2000

   Test Server                    - eqworld-01.989studios.com
   E'ci Server                    - eqworld-12.989studios.com
   Fennin Ro Server               - eqworld-05.989studios.com
   Tarew Marr Server              - eqworld-06.989studios.com
   Povar Server                   - eqworld-07.989studios.com
   Solusek Ro Server              - eqworld-10.989studios.com
   Mithaniel Marr Server          - eqworld-60.989studios.com
   Innoruuk Server                - eqworld-14.989studios.com
   Bristlebane Server             - eqworld-53.989studios.com
   Tunare Server                  - eqworld-43.989studios.com
   Veeshan Server                 - eqworld-17.989studios.com
   Bertoxxulous Server            - eqworld-19.989studios.com
   The Rathe Server               - eqworld-20.989studios.com
   Lanys T'Vyl Server             - eqworld-21.989studios.com
   Erollisi Marr Server           - eqworld-25.989studios.com
   Cazic-Thule Server             - eqworld-26.989studios.com
   Prexus Server                  - eqworld-42.989studios.com
   Rallos Zek (PvP) Server        - eqworld-29.989studios.com
   Brell Serilis Server           - eqworld-30.989studios.com
   Tallon Zek (PvP-Teams) Server  - eqworld-50.989studios.com
   Vallon Zek (PvP-Teams) Server  - eqworld-51.989studios.com
   The Tribunal Server            - eqworld-52.989studios.com
   Quellious Server               - eqworld-35.989studios.com
   Xegony Server                  - eqworld-41.989studios.com
   Karana Server                  - eqworld-37.989studios.com
   Rodcet Nife Server             - eqworld-38.989studios.com
   The Nameless Server            - eqworld-39.989studios.com
   Luclin Server                  - eqworld-82.989studios.com
   Druzzil Ro Server              - eqworld-83.989studios.com
   Torvonnilous Server            - eqworld-44.989studios.com
   Morell-Thule Server            - eqworld-61.989studios.com
   Saryrn Server                  - eqworld-62.989studios.com
   The Seventh Hammer Server      - eqworld-63.989studios.com
