L 353, 1084, 260,  353, 1084, 26,  153, 153, 153
L 353, 1084, 26,  152, 843, 63,  153, 153, 153
L 152, 843, 63,  150, 568, 25,  153, 153, 153
L 150, 568, 25,  33, 224, 20,  153, 153, 153
L 33, 224, 20,  67, 86, 1,  153, 153, 153
L 67, 86, 1,  77, -60, -3,  153, 153, 153
L 77, -60, -3,  81, -128, 10,  153, 153, 153
L 81, -128, 10,  125, -126, 2,  153, 153, 153
L 125, -126, 2,  166, -63, 12,  153, 153, 153
L 166, -63, 12,  286, -55, 23,  153, 153, 153
L 286, -55, 23,  358, -51, 17,  153, 153, 153
L 358, -51, 17,  418, -48, -4,  153, 153, 153
L 418, -48, -4,  500, 28, 4,  153, 153, 153
L 500, 28, 4,  727, 56, 28,  153, 153, 153
L 727, 56, 28,  868, 1, 3,  153, 153, 153
L 868, 1, 3,  983, -39, -3,  153, 153, 153
L 983, -39, -3,  1196, -49, 11,  153, 153, 153
L 1196, -49, 11,  1256, -79, 5,  153, 153, 153
L 1256, -79, 5,  1315, -136, 1,  153, 153, 153
L 1315, -136, 1,  1495, -184, 3,  153, 153, 153
L 1495, -184, 3,  1542, -250, 1,  153, 153, 153
L 1542, -250, 1,  1647, -275, -3,  153, 153, 153
L 1647, -275, -3,  1749, -379, 26,  153, 153, 153
L 1749, -379, 26,  1786, -450, 12,  153, 153, 153
L 1786, -450, 12,  1828, -538, 3,  153, 153, 153
L 1828, -538, 3,  1820, -603, 11,  153, 153, 153
L 1820, -603, 11,  1869, -848, 5,  153, 153, 153
L 1869, -848, 5,  1850, -852, 3,  153, 153, 153
L 1850, -852, 3,  1848, -907, 4,  153, 153, 153
L 1848, -907, 4,  1831, -906, 4,  153, 153, 153
L 1831, -906, 4,  1831, -856, 3,  153, 153, 153
L 1831, -856, 3,  1815, -845, 3,  153, 153, 153
L 1815, -845, 3,  1787, -793, 3,  153, 153, 153
L 1787, -793, 3,  1756, -765, 3,  153, 153, 153
L 1756, -765, 3,  1610, -685, 3,  153, 153, 153
L 1610, -685, 3,  1522, -662, 14,  153, 153, 153
L 1522, -662, 14,  1443, -681, 10,  153, 153, 153
L 1443, -681, 10,  1424, -713, 13,  153, 153, 153
L 1424, -713, 13,  1372, -727, 10,  153, 153, 153
L 1372, -727, 10,  1284, -712, 27,  153, 153, 153
L 1284, -712, 27,  1177, -686, 6,  153, 153, 153
L 1177, -686, 6,  1250, -789, -4,  153, 153, 153
L 1250, -789, -4,  1259, -863, -4,  153, 153, 153
L 1259, -863, -4,  1235, -967, 20,  153, 153, 153
L 1235, -967, 20,  1235, -1043, 9,  153, 153, 153
L 1235, -1043, 9,  1225, -1176, 27,  153, 153, 153
L 1225, -1176, 27,  1149, -1195, 12,  153, 153, 153
L 1149, -1195, 12,  1112, -1192, 8,  153, 153, 153
L 1112, -1192, 8,  1060, -1145, 3,  153, 153, 153
L 1060, -1145, 3,  1048, -1120, -3,  153, 153, 153
L 1048, -1120, -3,  1021, -1093, 6,  153, 153, 153
L 1021, -1093, 6,  962, -1078, 16,  153, 153, 153
L 962, -1078, 16,  922, -1083, 20,  153, 153, 153
L 922, -1083, 20,  869, -1088, 19,  153, 153, 153
L 869, -1088, 19,  817, -1099, 12,  153, 153, 153
L 817, -1099, 12,  788, -1159, 0,  153, 153, 153
L 788, -1159, 0,  748, -1179, -1,  153, 153, 153
L 748, -1179, -1,  701, -1209, 2,  153, 153, 153
L 701, -1209, 2,  668, -1229, 0,  153, 153, 153
L 668, -1229, 0,  624, -1265, 3,  153, 153, 153
L 624, -1265, 3,  595, -1294, -2,  153, 153, 153
L 595, -1294, -2,  572, -1320, 7,  153, 153, 153
L 572, -1320, 7,  532, -1306, 19,  153, 153, 153
L 532, -1306, 19,  510, -1250, 22,  153, 153, 153
L 510, -1250, 22,  569, -1196, 13,  153, 153, 153
L 569, -1196, 13,  544, -1130, 3,  153, 153, 153
L 544, -1130, 3,  481, -1102, 6,  153, 153, 153
L 481, -1102, 6,  400, -1126, 5,  153, 153, 153
L 400, -1126, 5,  383, -1178, 27,  153, 153, 153
L 383, -1178, 27,  255, -1185, 1,  153, 153, 153
L 255, -1185, 1,  172, -1236, -1,  153, 153, 153
L 172, -1236, -1,  126, -1246, 2,  153, 153, 153
L 126, -1246, 2,  86, -1228, 4,  153, 153, 153
L 86, -1228, 4,  62, -1194, 6,  153, 153, 153
L 62, -1194, 6,  70, -1186, 6,  153, 153, 153
L 70, -1186, 6,  87, -1056, 13,  153, 153, 153
L 87, -1056, 13,  70, -1022, 10,  153, 153, 153
L 70, -1022, 10,  51, -990, 7,  153, 153, 153
L 51, -990, 7,  -5, -993, 0,  153, 153, 153
L -5, -993, 0,  -24, -1013, 4,  153, 153, 153
L -24, -1013, 4,  -130, -1030, 12,  153, 153, 153
L -130, -1030, 12,  -164, -1015, 4,  153, 153, 153
L -164, -1015, 4,  -194, -998, 4,  153, 153, 153
L -194, -998, 4,  -231, -975, 8,  153, 153, 153
L -231, -975, 8,  -276, -969, 7,  153, 153, 153
L -276, -969, 7,  -394, -966, 7,  153, 153, 153
L -394, -966, 7,  -487, -1022, 8,  153, 153, 153
L -487, -1022, 8,  -541, -1049, 0,  153, 153, 153
L -541, -1049, 0,  -618, -1059, 3,  153, 153, 153
L -618, -1059, 3,  -656, -1020, 7,  153, 153, 153
L -656, -1020, 7,  -670, -986, 12,  153, 153, 153
L -670, -986, 12,  -656, -885, 10,  153, 153, 153
L -656, -885, 10,  -568, -830, 7,  153, 153, 153
L -568, -830, 7,  -457, -685, 10,  153, 153, 153
L -457, -685, 10,  -401, -582, -1,  153, 153, 153
L -401, -582, -1,  -322, -558, 4,  153, 153, 153
L -322, -558, 4,  -250, -477, 11,  153, 153, 153
L -250, -477, 11,  -230, -356, 16,  153, 153, 153
L -230, -356, 16,  -178, -286, 0,  153, 153, 153
L -178, -286, 0,  -79, -214, 13,  153, 153, 153
L -79, -214, 13,  -71, -145, 6,  153, 153, 153
L -71, -145, 6,  -94, -62, -3,  153, 153, 153
L -94, -62, -3,  -94, -19, -3,  153, 153, 153
L -94, -19, -3,  -94, 15, -3,  153, 153, 153
L -94, 15, -3,  -95, 39, -3,  153, 153, 153
L -95, 39, -3,  -84, 98, 5,  153, 153, 153
L -84, 98, 5,  -58, 179, 26,  153, 153, 153
L -58, 179, 26,  -48, 224, 33,  153, 153, 153
L -48, 224, 33,  -40, 296, 38,  153, 153, 153
L -40, 296, 38,  -30, 386, 45,  153, 153, 153
L -30, 386, 45,  -13, 534, 55,  153, 153, 153
L -13, 534, 55,  -9, 654, 59,  153, 153, 153
L -9, 654, 59,  -9, 745, 61,  153, 153, 153
L -9, 745, 61,  -9, 806, 63,  153, 153, 153
L -9, 806, 63,  -4, 853, 64,  153, 153, 153
L -4, 853, 64,  90, 939, 52,  153, 153, 153
L 90, 939, 52,  179, 1020, 40,  153, 153, 153
L 179, 1020, 40,  221, 1058, 35,  153, 153, 153
L 221, 1058, 35,  221, 1058, 35,  153, 153, 153
L 221, 1058, 35,  221, 1058, 35,  153, 153, 153
L 17, -255, 33,  17, -255, 3,  153, 153, 153
L 17, -255, 3,  94, -308, 0,  153, 153, 153
L 94, -308, 0,  96, -375, 8,  153, 153, 153
L 96, -375, 8,  53, -465, 16,  153, 153, 153
L 53, -465, 16,  51, -513, 12,  153, 153, 153
L 51, -513, 12,  64, -566, 0,  153, 153, 153
L 64, -566, 0,  90, -614, 32,  153, 153, 153
L 90, -614, 32,  138, -642, 14,  153, 153, 153
L 138, -642, 14,  164, -658, 9,  153, 153, 153
L 164, -658, 9,  212, -707, 14,  153, 153, 153
L 212, -707, 14,  243, -757, 10,  153, 153, 153
L 243, -757, 10,  323, -822, 14,  153, 153, 153
L 323, -822, 14,  337, -870, 5,  153, 153, 153
L 337, -870, 5,  292, -918, 2,  153, 153, 153
L 292, -918, 2,  257, -918, 21,  153, 153, 153
L 257, -918, 21,  143, -891, 7,  153, 153, 153
L 143, -891, 7,  83, -898, 6,  153, 153, 153
L 83, -898, 6,  -3, -938, 2,  153, 153, 153
L -3, -938, 2,  -22, -955, 0,  153, 153, 153
L -22, -955, 0,  -98, -979, 10,  153, 153, 153
L -98, -979, 10,  -137, -958, 7,  153, 153, 153
L -137, -958, 7,  -184, -913, 9,  153, 153, 153
L -184, -913, 9,  -258, -901, 9,  153, 153, 153
L -258, -901, 9,  -382, -897, 0,  153, 153, 153
L -382, -897, 0,  -425, -932, 4,  153, 153, 153
L -425, -932, 4,  -445, -951, 12,  153, 153, 153
L -445, -951, 12,  -466, -964, 6,  153, 153, 153
L -466, -964, 6,  -518, -981, 8,  153, 153, 153
L -518, -981, 8,  -552, -990, 16,  153, 153, 153
L -552, -990, 16,  -597, -1013, 9,  153, 153, 153
L -597, -1013, 9,  -609, -991, 6,  153, 153, 153
