L 105, -2068, 868,  105, -2068, 86,  153, 153, 153
L 105, -2068, 86,  164, -2068, 86,  153, 153, 153
L 164, -2068, 86,  165, -2061, 86,  153, 153, 153
L 165, -2061, 86,  154, -2052, 86,  153, 153, 153
L 154, -2052, 86,  132, -2034, 106,  153, 153, 153
L 132, -2034, 106,  125, -1995, 106,  153, 153, 153
L 125, -1995, 106,  125, -1797, 106,  153, 153, 153
L 125, -1797, 106,  132, -1770, 106,  153, 153, 153
L 132, -1770, 106,  152, -1750, 106,  153, 153, 153
L 152, -1750, 106,  172, -1745, 104,  153, 153, 153
L 172, -1745, 104,  171, -1732, 104,  153, 153, 153
L 171, -1732, 104,  143, -1739, 104,  153, 153, 153
L 143, -1739, 104,  116, -1766, 109,  153, 153, 153
L 252, -2068, 865,  252, -2068, 86,  153, 153, 153
L 252, -2068, 86,  192, -2067, 86,  153, 153, 153
L 192, -2067, 86,  192, -2061, 86,  153, 153, 153
L 192, -2061, 86,  203, -2052, 86,  153, 153, 153
L 203, -2052, 86,  225, -2034, 106,  153, 153, 153
L 225, -2034, 106,  232, -1995, 106,  153, 153, 153
L 232, -1995, 106,  232, -1797, 106,  153, 153, 153
L 232, -1797, 106,  225, -1770, 106,  153, 153, 153
L 225, -1770, 106,  205, -1750, 106,  153, 153, 153
L 205, -1750, 106,  184, -1744, 104,  153, 153, 153
L 184, -1744, 104,  185, -1732, 104,  153, 153, 153
L 185, -1732, 104,  214, -1739, 104,  153, 153, 153
L 214, -1739, 104,  240, -1765, 106,  153, 153, 153
L 24, -1850, 1935,  24, -1850, 193,  153, 153, 153
L 24, -1850, 193,  -1587, -1787, 225,  153, 153, 153
L -1587, -1787, 225,  -1751, -1624, 217,  153, 153, 153
L -1751, -1624, 217,  -1780, -1511, 185,  153, 153, 153
L -1780, -1511, 185,  -1904, -359, 196,  153, 153, 153
L -1904, -359, 196,  -1966, -268, 158,  153, 153, 153
L -1966, -268, 1585,  -1966, -268, 158,  153, 153, 153
L -1966, -268, 158,  -1967, -199, 125,  153, 153, 153
L -1967, -199, 125,  -1948, -193, 125,  153, 153, 153
L -1948, -193, 125,  -1928, -173, 114,  153, 153, 153
L -1928, -173, 114,  -1920, -145, 104,  153, 153, 153
L -1920, -145, 104,  -1930, -115, 96,  153, 153, 153
L -1930, -115, 96,  -1949, -96, 94,  153, 153, 153
L -1949, -96, 94,  -1975, -89, 92,  153, 153, 153
L -1975, -89, 92,  -1976, -25, 88,  153, 153, 153
L -1976, -25, 88,  -2047, -25, 93,  153, 153, 153
L -2047, -25, 93,  -2048, -99, 93,  153, 153, 153
L -2048, 95, 933,  -2048, 95, 93,  153, 153, 153
L -2048, 95, 93,  -2047, 21, 93,  153, 153, 153
L -2047, 21, 93,  -1975, 21, 88,  153, 153, 153
L -1975, 21, 88,  -1975, 58, 88,  153, 153, 153
L -1975, 58, 88,  -1949, 65, 88,  153, 153, 153
L -1949, 65, 88,  -1928, 86, 89,  153, 153, 153
L -1928, 86, 89,  -1920, 114, 91,  153, 153, 153
L -1920, 114, 91,  -1928, 142, 94,  153, 153, 153
L -1928, 142, 94,  -1948, 162, 97,  153, 153, 153
L -1948, 162, 97,  -1972, 169, 97,  153, 153, 153
L -1972, 169, 97,  -1974, 225, 113,  153, 153, 153
L -1974, 225, 113,  -1883, 509, 262,  153, 153, 153
L -1883, 509, 262,  -1769, 1273, 363,  153, 153, 153
L -1769, 1273, 363,  -1661, 1413, 359,  153, 153, 153
L -1661, 1413, 359,  -1503, 1532, 370,  153, 153, 153
L -1503, 1532, 370,  -1375, 1591, 373,  153, 153, 153
L -1375, 1591, 373,  -1216, 1658, 354,  153, 153, 153
L -1216, 1658, 354,  -1044, 1764, 323,  153, 153, 153
L -1044, 1764, 323,  11, 1843, 187,  153, 153, 153
L 11, 1843, 187,  839, 1821, 184,  153, 153, 153
L 839, 1821, 1842,  839, 1821, 184,  153, 153, 153
L 839, 1821, 184,  839, 1781, 146,  153, 153, 153
L 839, 1781, 146,  832, 1781, 140,  153, 153, 153
L 832, 1781, 140,  832, 1756, 106,  153, 153, 153
L 832, 1756, 106,  847, 1756, 102,  153, 153, 153
