L 1804, 2227, 37, 1804, 2227, 3, 153, 153, 153
L 1804, 2227, 3, 1804, 2207, 3, 153, 153, 153
L 1804, 2207, 3, 1789, 2192, 3, 153, 153, 153
L 1789, 2192, 3, 1742, 2192, 3, 153, 153, 153
L 1742, 2192, 3, 1724, 2175, -11, 153, 153, 153
L 1724, 2175, -118, 1724, 2175, -11, 0, 0, 255
L 1724, 2175, -11, 1742, 2140, -14, 0, 0, 255
L 1742, 2140, -14, 1805, 2140, -14, 0, 0, 255
L 1805, 2140, -14, 1805, 2128, -14, 0, 0, 255
L 1805, 2128, -14, 1740, 2127, -14, 0, 0, 255
L 1740, 2127, -14, 1724, 2096, -14, 0, 0, 255
L 1724, 2096, -14, 1694, 2080, -14, 0, 0, 255
L 1694, 2080, -14, 1677, 2080, -196, 0, 0, 255
L 1677, 2080, -196, 1676, 2156, -207, 0, 0, 255
L 1676, 2156, -207, 1631, 2156, -193, 0, 0, 255
L 1631, 2156, -193, 1600, 2140, -190, 0, 0, 255
L 1600, 2140, -190, 1584, 2109, -188, 0, 0, 255
L 1584, 2109, -1889, 1584, 2109, -188, 153, 153, 153
L 1584, 2109, -188, 1534, 2108, -172, 153, 153, 153
L 1534, 2108, -172, 1517, 2156, -172, 153, 153, 153
L 1677, 2080, -1980, 1677, 2080, -198, 0, 0, 255
L 1677, 2080, -198, 1644, 2046, -193, 0, 0, 255
L 1644, 2046, -193, 1617, 2046, -190, 0, 0, 255
L 1617, 2046, -190, 1600, 2064, -189, 0, 0, 255
L 1600, 2064, -189, 1583, 2096, -188, 0, 0, 255
L 1583, 2096, -1885, 1583, 2096, -188, 153, 153, 153
L 1583, 2096, -188, 1533, 2080, -172, 153, 153, 153
L 1533, 2080, -172, 1516, 2047, -172, 153, 153, 153
L 1516, 2047, -172, 1516, 1967, -172, 153, 153, 153
L 1516, 1967, -172, 1453, 1905, -172, 153, 153, 153
L 1453, 1905, -172, 1358, 1904, -172, 153, 153, 153
L 1358, 1904, -172, 1325, 1857, -172, 153, 153, 153
L 1325, 1857, -172, 1278, 1856, -172, 153, 153, 153
L 1278, 1856, -172, 1244, 1823, -172, 153, 153, 153
L 1244, 1823, -172, 1260, 1790, -172, 153, 153, 153
L 1260, 1790, -172, 1251, 1771, -172, 153, 153, 153
L 1251, 1771, -172, 1201, 1791, -167, 153, 153, 153
L 1201, 1791, -167, 1216, 1821, -172, 153, 153, 153
