L -66, 125, 43, -66, 125, 4, 153, 153, 153
L -66, 125, 4, -50, 108, 4, 153, 153, 153
L -50, 108, 4, -2, 108, 8, 153, 153, 153
L -2, 108, 8, 11, 79, 4, 153, 153, 153
L 11, 79, 4, 12, 30, 3, 153, 153, 153
L 12, 30, 3, 28, 14, 3, 153, 153, 153
L 28, 14, 3, 27, 0, 3, 153, 153, 153
L 27, 0, 3, 13, -14, 3, 153, 153, 153
L 13, -14, 3, 11, -42, 4, 153, 153, 153
L 11, -42, 4, 6, -50, 4, 153, 153, 153
L 6, -50, 4, -12, -60, 4, 153, 153, 153
L -12, -60, 4, -12, -68, 4, 153, 153, 153
L -12, -68, 4, -4, -78, 4, 153, 153, 153
L -4, -78, 4, 9, -79, 4, 153, 153, 153
L 9, -79, 4, 32, -67, 9, 153, 153, 153
L 32, -67, 9, 62, -67, 4, 153, 153, 153
L 62, -67, 4, 76, -81, 4, 153, 153, 153
L 76, -81, 4, 76, -95, 4, 153, 153, 153
L 76, -95, 4, 60, -111, 4, 153, 153, 153
L 60, -111, 4, 60, -126, 4, 153, 153, 153
L 60, -126, 4, 84, -132, 4, 153, 153, 153
L 84, -132, 4, 93, -137, 4, 153, 153, 153
L 93, -137, 4, 100, -153, 4, 153, 153, 153
L 100, -153, 4, 102, -169, 4, 153, 153, 153
L 102, -169, 4, 144, -163, 4, 153, 153, 153
L 144, -163, 4, 145, -142, 3, 153, 153, 153
L 145, -142, 3, 115, -112, 3, 153, 153, 153
L 115, -112, 3, 128, -99, 3, 153, 153, 153
L 128, -99, 3, 155, -99, 3, 153, 153, 153
L 155, -99, 3, 171, -126, 3, 153, 153, 153
L 171, -126, 3, 157, -142, 3, 153, 153, 153
L 157, -142, 3, 156, -160, 4, 153, 153, 153
L 156, -160, 4, 168, -171, 4, 153, 153, 153
L 168, -171, 4, 171, -188, 4, 153, 153, 153
L 171, -188, 4, 157, -206, 4, 153, 153, 153
L 157, -206, 4, 156, -225, 4, 153, 153, 153
L 156, -225, 4, 173, -236, 3, 153, 153, 153
L 173, -236, 3, 172, -254, 3, 153, 153, 153
L 172, -254, 3, 157, -269, 3, 153, 153, 153
L 157, -269, 3, 133, -269, 3, 153, 153, 153
L 133, -269, 3, 126, -259, 3, 153, 153, 153
L 126, -259, 3, 124, -240, 3, 153, 153, 153
L 124, -240, 3, 144, -227, 3, 153, 153, 153
L 144, -227, 3, 146, -208, 4, 153, 153, 153
L 146, -208, 4, 129, -190, 4, 153, 153, 153
L 129, -190, 4, 112, -189, 4, 153, 153, 153
L 112, -189, 4, 98, -185, 4, 153, 153, 153
L 98, -185, 4, 88, -194, 4, 153, 153, 153
L 88, -194, 4, 84, -212, 9, 153, 153, 153
L 84, -212, 9, 70, -225, 4, 153, 153, 153
L 70, -225, 4, 68, -234, 4, 153, 153, 153
L 68, -234, 4, 61, -245, 4, 153, 153, 153
L 61, -245, 4, 45, -245, 8, 153, 153, 153
L 45, -245, 8, 28, -254, 4, 153, 153, 153
L 28, -254, 4, 0, -259, 4, 153, 153, 153
L 0, -259, 4, -13, -253, 4, 153, 153, 153
L -13, -253, 4, -27, -261, 3, 153, 153, 153
L -27, -261, 3, -21, -283, 12, 153, 153, 153
L -78, -262, 62, -78, -262, 6, 153, 153, 153
L -78, -262, 6, -92, -211, 6, 153, 153, 153
L -92, -211, 6, -80, -211, 5, 153, 153, 153
