L 165, -53, -474, 161, -49, -50, 153, 0, 153
L 161, -49, -50, 161, -46, -56, 153, 0, 153
L 161, -46, -56, 166, -41, -56, 153, 0, 153
L 166, -41, -56, 166, -37, -54, 153, 0, 153
L 166, -37, -54, 180, -37, -55, 153, 0, 153
L 180, -37, -55, 186, -26, -55, 153, 0, 153
L 186, -26, -55, 185, -8, -55, 153, 0, 153
L 185, -8, -55, 178, -13, -55, 153, 0, 153
L 178, -13, -55, 165, -13, -56, 153, 0, 153
L 165, -13, -56, 161, -9, -55, 153, 0, 153
L 161, -9, -55, 157, -1, -54, 153, 0, 153
L 157, -1, -54, 164, 2, -56, 153, 0, 153
L 164, 2, -56, 178, 2, -56, 153, 0, 153
L 178, 2, -56, 183, -2, -56, 153, 0, 153
L 183, -2, -56, 190, 2, -53, 153, 0, 153
L 190, 2, -53, 215, 2, -55, 153, 0, 153
L 215, 2, -55, 231, 23, -56, 153, 0, 153
L 231, 23, -56, 231, 44, -55, 153, 0, 153
L 231, 44, -55, 225, 56, -55, 153, 0, 153
L 225, 56, -55, 218, 51, -56, 153, 0, 153
L 218, 51, -56, 205, 51, -54, 153, 0, 153
L 205, 51, -54, 191, 60, -53, 153, 0, 153
L 191, 60, -53, 191, 62, -53, 153, 0, 153
L 191, 62, -53, 202, 66, -56, 153, 0, 153
L 202, 66, -56, 218, 67, -55, 153, 0, 153
L 218, 67, -55, 222, 63, -55, 153, 0, 153
L 222, 63, -55, 237, 43, -55, 153, 0, 153
L 237, 43, -55, 241, 24, -54, 153, 0, 153
L 241, 24, -54, 227, 5, -55, 153, 0, 153
L 227, 5, -55, 213, -8, -56, 153, 0, 153
L 213, -8, -56, 198, -8, -56, 153, 0, 153
L 198, -8, -56, 197, -25, -55, 153, 0, 153
L 197, -25, -55, 192, -39, -55, 153, 0, 153
L 192, -39, -55, 188, -43, -56, 153, 0, 153
L 188, -43, -56, 183, -43, -56, 153, 0, 153
L 183, -43, -56, 178, -52, -50, 153, 0, 153
L 178, -52, -50, 165, -53, -47, 153, 0, 153
L 237, -183, -362, 236, -159, -31, 255, 0, 255
L 236, -159, -31, 231, -154, -31, 255, 0, 255
L 231, -154, -31, 208, -152, -31, 255, 0, 255
L 208, -152, -31, 203, -158, -32, 255, 0, 255
L 203, -158, -32, 198, -158, -36, 255, 0, 255
L 198, -158, -36, 193, -163, -36, 255, 0, 255
L 193, -163, -36, 184, -163, -34, 255, 0, 255
L 184, -163, -34, 174, -167, -30, 255, 0, 255
L 174, -167, -30, 165, -158, -36, 255, 0, 255
L 165, -158, -36, 155, -158, -33, 255, 0, 255
L 155, -158, -33, 146, -149, -36, 255, 0, 255
L 146, -149, -36, 146, -146, -36, 255, 0, 255
L 146, -146, -36, 150, -142, -36, 255, 0, 255
L 150, -142, -36, 151, -133, -36, 255, 0, 255
L 151, -133, -36, 147, -125, -36, 255, 0, 255
L 147, -125, -36, 136, -119, -56, 255, 0, 255
L 136, -119, -56, 136, -115, -56, 255, 0, 255
L 136, -115, -56, 141, -101, -56, 255, 0, 255
L 141, -101, -56, 145, -97, -56, 255, 0, 255
L 145, -97, -56, 151, -91, -36, 255, 0, 255
L 151, -91, -36, 158, -83, -30, 255, 0, 255
L 158, -83, -30, 165, -77, -36, 255, 0, 255
L 165, -77, -36, 166, 23, -35, 255, 0, 255
L 166, 23, -35, 185, 42, -35, 255, 0, 255
L 185, 42, -35, 198, 42, -36, 255, 0, 255
L 198, 42, -36, 206, 48, -35, 255, 0, 255
L 206, 48, -35, 216, 49, -36, 255, 0, 255
L 216, 49, -36, 198, 31, -36, 255, 0, 255
L 198, 31, -36, 183, 31, -35, 255, 0, 255
L 183, 31, -35, 177, 25, -35, 255, 0, 255
L 177, 25, -35, 177, -76, -36, 255, 0, 255
L 177, -76, -36, 196, -86, -34, 255, 0, 255
L 196, -86, -34, 207, -97, -36, 255, 0, 255
L 207, -97, -36, 217, -101, -43, 255, 0, 255
L 217, -101, -43, 217, -104, -42, 255, 0, 255
L 217, -104, -42, 208, -108, -41, 255, 0, 255
L 208, -108, -41, 207, -123, -41, 255, 0, 255
L 207, -123, -41, 212, -131, -35, 255, 0, 255
L 212, -131, -35, 212, -134, -35, 255, 0, 255
L 212, -134, -35, 207, -139, -31, 255, 0, 255
L 207, -139, -31, 228, -142, -31, 255, 0, 255
L 228, -142, -31, 247, -161, -30, 255, 0, 255
L 247, -161, -30, 246, -182, -33, 255, 0, 255
L 246, -182, -33, 236, -182, -35, 255, 0, 255
L 217, 69, -358, 206, 70, -35, 255, 0, 255
L 206, 70, -35, 206, 89, -36, 255, 0, 255
L 206, 89, -36, 200, 96, -35, 255, 0, 255
L 200, 96, -35, 188, 96, -35, 255, 0, 255
L 188, 96, -35, 183, 91, -34, 255, 0, 255
L 183, 91, -34, 180, 91, -33, 255, 0, 255
L 180, 91, -33, 176, 95, -36, 255, 0, 255
L 176, 95, -36, 176, 104, -36, 255, 0, 255
L 176, 104, -36, 171, 115, -35, 255, 0, 255
L 171, 115, -35, 153, 111, -36, 255, 0, 255
L 153, 111, -36, 138, 111, -35, 255, 0, 255
L 138, 111, -35, 131, 104, -36, 255, 0, 255
L 131, 104, -36, 132, 90, -35, 255, 0, 255
L 132, 90, -35, 113, 71, -36, 255, 0, 255
L 113, 71, -36, 94, 71, -36, 255, 0, 255
L 94, 71, -36, 83, 61, -29, 255, 0, 255
L 83, 61, -29, 75, 61, -29, 255, 0, 255
L 75, 61, -29, 71, 65, -30, 255, 0, 255
L 71, 65, -30, 66, 75, -34, 255, 0, 255
L 66, 75, -34, 66, 83, -33, 255, 0, 255
L 66, 83, -33, 70, 87, -34, 255, 0, 255
L 70, 87, -34, 71, 93, -35, 255, 0, 255
L 71, 93, -35, 75, 97, -33, 255, 0, 255
L 75, 97, -33, 82, 97, -35, 255, 0, 255
L 82, 97, -35, 87, 92, -35, 255, 0, 255
L 87, 92, -35, 93, 82, -36, 255, 0, 255
L 93, 82, -36, 115, 82, -35, 255, 0, 255
L 115, 82, -35, 121, 88, -36, 255, 0, 255
L 121, 88, -36, 122, 102, -30, 255, 0, 255
L 122, 102, -30, 140, 122, -34, 255, 0, 255
L 140, 122, -34, 154, 122, -35, 255, 0, 255
L 154, 122, -35, 170, 127, -35, 255, 0, 255
L 170, 127, -35, 177, 134, -35, 255, 0, 255
L 177, 134, -35, 177, 144, -36, 255, 0, 255
L 177, 144, -36, 186, 144, -36, 255, 0, 255
L 186, 144, -36, 189, 142, -35, 255, 0, 255
