L 1180, 1728, -19, 1180, 1728, -2, 153, 153, 153
L 1180, 1728, -2, 1234, 1720, 4, 153, 153, 153
L 1234, 1720, 4, 1248, 1710, 2, 153, 153, 153
L 1248, 1710, 2, 1303, 1657, 14, 153, 153, 153
L 1303, 1657, 14, 1295, 1609, 15, 153, 153, 153
L 1295, 1609, 15, 1293, 1594, 22, 153, 153, 153
L 1293, 1594, 22, 1253, 1546, 34, 153, 153, 153
L 1221, 1576, 380, 1221, 1576, 37, 153, 153, 153
L 1221, 1576, 37, 1241, 1618, 37, 153, 153, 153
L 1241, 1618, 37, 1245, 1642, 37, 153, 153, 153
L 1245, 1642, 37, 1244, 1642, 37, 153, 153, 153
L 1244, 1642, 37, 1197, 1664, 34, 153, 153, 153
L 1197, 1664, 34, 1158, 1670, 31, 153, 153, 153
L 1725, 1669, 1771, 1725, 1669, 177, 153, 153, 153
L 1725, 1669, 177, 1768, 1575, 203, 153, 153, 153
L 1768, 1575, 203, 1733, 887, 235, 153, 153, 153
L 1733, 887, 235, 1612, 522, 199, 153, 153, 153
L 1612, 522, 199, 1590, 301, 198, 153, 153, 153
L 1590, 301, 198, 1735, 173, 213, 153, 153, 153
L 1735, 173, 213, 1794, 74, 252, 153, 153, 153
L 1794, 74, 252, 1816, -152, 292, 153, 153, 153
L 1816, -152, 292, 1804, -275, 325, 153, 153, 153
L 1804, -275, 325, 1755, -431, 318, 153, 153, 153
L 1755, -431, 318, 1678, -603, 302, 153, 153, 153
L 1678, -603, 302, 1546, -736, 315, 153, 153, 153
L 1546, -736, 315, 1582, -856, 322, 153, 153, 153
L 1582, -856, 322, 1630, -1030, 306, 153, 153, 153
L 1630, -1030, 306, 1672, -1104, 297, 153, 153, 153
L 1672, -1104, 297, 1757, -1402, 278, 153, 153, 153
L 1757, -1402, 278, 1724, -1540, 269, 153, 153, 153
L 1724, -1540, 269, 1608, -1643, 256, 153, 153, 153
L 1608, -1643, 256, 1531, -1689, 250, 153, 153, 153
L 1531, -1689, 250, 1379, -1757, 238, 153, 153, 153
L 1379, -1757, 238, 1191, -1831, 229, 153, 153, 153
L 1191, -1831, 229, 1094, -1844, 225, 153, 153, 153
L 1094, -1844, 225, 952, -1763, 205, 153, 153, 153
L 952, -1763, 205, 740, -1712, 241, 153, 153, 153
L 740, -1712, 241, 521, -1703, 208, 153, 153, 153
L 521, -1703, 208, 186, -1765, 161, 153, 153, 153
L 186, -1765, 161, 1, -1745, 95, 153, 153, 153
L 1, -1745, 95, -171, -1731, 118, 153, 153, 153
L -171, -1731, 118, -453, -1756, 166, 153, 153, 153
L -453, -1756, 166, -678, -1703, 138, 153, 153, 153
L -678, -1703, 138, -800, -1701, 161, 153, 153, 153
L -800, -1701, 161, -925, -1757, 150, 153, 153, 153
L -925, -1757, 150, -1168, -1757, 158, 153, 153, 153
L -1168, -1757, 158, -1380, -1728, 153, 153, 153, 153
L -1380, -1728, 153, -1630, -1722, 201, 153, 153, 153
L -1630, -1722, 201, -1716, -1699, 200, 153, 153, 153
L -1716, -1699, 200, -1814, -1628, 193, 153, 153, 153
L -1814, -1628, 193, -1853, -1471, 193, 153, 153, 153
L -1853, -1471, 193, -1749, -1264, 86, 153, 153, 153
L -1749, -1264, 86, -1750, -1016, 64, 153, 153, 153
L -1750, -1016, 64, -1750, -359, 199, 153, 153, 153
L -1750, -359, 199, -1751, -73, -35, 153, 153, 153
L -1751, -73, -35, -1778, -69, -35, 153, 153, 153
L -1778, -69, -35, -1777, -86, -35, 153, 153, 153
L -1777, -86, -35, -1835, -86, -35, 153, 153, 153
L -1835, -86, -35, -1835, 32, -35, 153, 153, 153
L -1838, 88, -359, -1838, 88, -35, 153, 153, 153
L -1838, 88, -35, -1777, 88, -35, 153, 153, 153
L -1777, 88, -35, -1778, -33, -35, 153, 153, 153
L -1778, -33, -35, -1751, -35, -35, 153, 153, 153
L -1751, -35, -35, -1750, 1083, 169, 153, 153, 153
L -1750, 1083, 169, -1802, 1260, 223, 153, 153, 153
L -1802, 1260, 223, -1807, 1358, 225, 153, 153, 153
L -1807, 1358, 225, -1762, 1404, 228, 153, 153, 153
L -1762, 1404, 228, -1578, 1364, 205, 153, 153, 153
L -1578, 1364, 205, -1398, 1475, 159, 153, 153, 153
L -1398, 1475, 159, -1176, 1573, 120, 153, 153, 153
L -1176, 1573, 120, -976, 1672, 86, 153, 153, 153
L -976, 1672, 86, -790, 1712, 179, 153, 153, 153
L -790, 1712, 179, -748, 1712, 178, 153, 153, 153
L -748, 1712, 178, -555, 1714, 151, 153, 153, 153
L -555, 1714, 151, -342, 1740, 116, 153, 153, 153
L -342, 1740, 116, -277, 1748, 124, 153, 153, 153
L -277, 1748, 124, -131, 1782, 212, 153, 153, 153
L -131, 1782, 212, 17, 1772, 194, 153, 153, 153
L 17, 1772, 194, 315, 1679, 172, 153, 153, 153
L 315, 1679, 172, 406, 1731, 190, 153, 153, 153
L 406, 1731, 190, 603, 1654, 153, 153, 153, 153
L 603, 1654, 153, 882, 1801, 155, 153, 153, 153
L 882, 1801, 155, 1009, 1794, 201, 153, 153, 153
L 1009, 1794, 201, 1242, 1789, 223, 153, 153, 153
L 1242, 1789, 223, 1413, 1790, 216, 153, 153, 153
L 1413, 1790, 216, 1595, 1779, 185, 153, 153, 153
L 1595, 1779, 185, 1723, 1672, 175, 153, 153, 153
L -396, 1704, 175, -396, 1704, 17, 0, 255, 0
L -396, 1704, 17, -398, 1750, -2, 0, 255, 0
L -398, 1750, -2, -488, 1751, -25, 0, 255, 0
L -488, 1751, -25, -493, 1774, -26, 0, 255, 0
L -493, 1774, -26, -497, 1882, -27, 0, 255, 0
L -497, 1882, -27, -477, 1897, -27, 0, 255, 0
L -477, 1897, -27, -399, 1897, -27, 0, 255, 0
L -399, 1897, -27, -398, 1947, -27, 0, 255, 0
L -398, 1947, -27, -369, 1947, -27, 0, 255, 0
L -369, 1947, -27, -352, 1897, -27, 0, 255, 0
L -352, 1897, -27, -300, 1896, -49, 0, 255, 0
L -300, 1896, -49, -298, 1944, -35, 0, 255, 0
L -298, 1944, -35, -257, 1947, -41, 0, 255, 0
L -257, 1947, -41, -256, 1898, -43, 0, 255, 0
L -256, 1898, -43, -262, 1882, -44, 0, 255, 0
L -262, 1882, -44, -252, 1853, -47, 0, 255, 0
L -252, 1853, -47, -252, 1819, -52, 0, 255, 0
L -252, 1819, -52, -262, 1804, -45, 0, 255, 0
L -262, 1804, -45, -298, 1801, -42, 0, 255, 0
L -298, 1801, -42, -300, 1852, -49, 0, 255, 0
L -300, 1852, -49, -372, 1851, -17, 0, 255, 0
L -372, 1851, -17, -450, 1851, -18, 0, 255, 0
L -450, 1851, -18, -452, 1799, -27, 0, 255, 0
L -452, 1799, -27, -404, 1796, -4, 0, 255, 0
L -404, 1796, -4, -352, 1797, 7, 0, 255, 0
L -352, 1797, 7, -355, 1709, 16, 0, 255, 0
L -1143, 1624, -374, -1143, 1624, -37, 0, 255, 0
L -1143, 1624, -37, -1148, 1722, -24, 0, 255, 0
L -1148, 1722, -24, -1108, 1721, -31, 0, 255, 0
L -1108, 1721, -31, -1097, 1762, -36, 0, 255, 0
L -1097, 1762, -36, -1091, 1765, -36, 0, 255, 0
L -1091, 1765, -36, -996, 1774, -36, 0, 255, 0
L -996, 1774, -36, -998, 1824, -36, 0, 255, 0
L -998, 1824, -36, -1083, 1826, -34, 0, 255, 0
L -1083, 1826, -34, -1083, 1839, -35, 0, 255, 0
L -1083, 1839, -35, -1098, 1922, -36, 0, 255, 0
L -1098, 1922, -36, -1001, 1922, -36, 0, 255, 0
L -1001, 1922, -36, -992, 1902, -36, 0, 255, 0
L -992, 1902, -36, -978, 1889, -36, 0, 255, 0
L -978, 1889, -36, -962, 1892, -35, 0, 255, 0
L -962, 1892, -35, -944, 1911, -36, 0, 255, 0
L -944, 1911, -36, -943, 1922, -36, 0, 255, 0
L -943, 1922, -36, -852, 1922, -36, 0, 255, 0
L -852, 1922, -36, -852, 1847, -34, 0, 255, 0
L -852, 1847, -34, -872, 1834, -35, 0, 255, 0
L -872, 1834, -35, -954, 1822, -36, 0, 255, 0
L -954, 1822, -36, -953, 1731, -36, 0, 255, 0
L -953, 1731, -36, -1051, 1726, -36, 0, 255, 0
L -1051, 1726, -36, -1052, 1690, -36, 0, 255, 0
L -1052, 1690, -36, -1058, 1676, -36, 0, 255, 0
L -1058, 1676, -36, -1100, 1677, -36, 0, 255, 0
L -1100, 1677, -36, -1100, 1629, -21, 0, 255, 0
L -1100, 1629, -21, -1078, 1615, -19, 0, 255, 0
L -1143, 1624, -316, -1143, 1624, -31, 0, 255, 0
L -1143, 1624, -31, -1133, 1587, -49, 0, 255, 0
L 384, -1312, -369, 384, -1312, -36, 153, 153, 153
L 384, -1312, -36, 393, -1312, -32, 153, 153, 153
L 393, -1312, -32, 394, -1237, -36, 153, 153, 153
L 394, -1237, -36, 351, -1235, -29, 153, 153, 153
L 351, -1235, -29, 348, -1309, -36, 153, 153, 153
L 348, -1309, -36, 359, -1313, -37, 153, 153, 153
L 329, -1362, -339, 329, -1362, -33, 153, 153, 153
L 329, -1362, -33, 308, -1351, -31, 153, 153, 153
L 308, -1351, -31, 286, -1365, -18, 153, 153, 153
L 286, -1365, -18, 283, -1373, -14, 153, 153, 153
L 283, -1373, -14, 281, -1386, -14, 153, 153, 153
L 281, -1386, -14, 289, -1400, -15, 153, 153, 153
L 289, -1400, -15, 306, -1406, -16, 153, 153, 153
L 306, -1406, -16, 329, -1389, -13, 153, 153, 153
L 329, -1389, -13, 336, -1380, -33, 153, 153, 153
L 402, -1416, -321, 402, -1416, -31, 153, 153, 153
L 402, -1416, -31, 394, -1416, -31, 153, 153, 153
L 394, -1416, -31, 392, -1493, -26, 153, 153, 153
L 392, -1493, -26, 435, -1494, -17, 153, 153, 153
L 435, -1494, -17, 436, -1417, -21, 153, 153, 153
L 436, -1417, -21, 428, -1416, -31, 153, 153, 153
L 1065, -487, 152, 1065, -487, 15, 153, 153, 153
L 1065, -487, 15, 1302, -487, 15, 153, 153, 153
L 1302, -487, 15, 1302, -571, 21, 153, 153, 153
L 1246, -577, 152, 1246, -577, 15, 153, 153, 153
L 1246, -577, 15, 1247, -663, 15, 153, 153, 153
L 1247, -663, 15, 1065, -663, 15, 153, 153, 153
L 1065, -663, 15, 1064, -548, 15, 153, 153, 153
L 1064, -548, 15, 1050, -547, 15, 153, 153, 153
L 1050, -547, 15, 1047, -673, 49, 153, 153, 153
L 1047, -673, 49, 1023, -673, 42, 153, 153, 153
L 1023, -673, 42, 1022, -750, 20, 153, 153, 153
L 1022, -750, 20, 1100, -752, 94, 153, 153, 153
L 1100, -752, 94, 1101, -727, 93, 153, 153, 153
L 1101, -727, 93, 1297, -727, 236, 153, 153, 153
L 1297, -727, 236, 1297, -749, 229, 153, 153, 153
L 1297, -749, 229, 1374, -752, 228, 153, 153, 153
L 1374, -752, 228, 1376, -675, 243, 153, 153, 153
L 1376, -675, 243, 1394, -665, 244, 153, 153, 153
L 1394, -665, 244, 1419, -649, 242, 153, 153, 153
L 1419, -649, 242, 1444, -610, 238, 153, 153, 153
L 1444, -610, 238, 1451, -576, 234, 153, 153, 153
L 1451, -576, 234, 1443, -535, 229, 153, 153, 153
L 1443, -535, 229, 1417, -500, 222, 153, 153, 153
L 1417, -500, 222, 1380, -475, 212, 153, 153, 153
L 1380, -475, 212, 1376, -405, 199, 153, 153, 153
L 1376, -405, 199, 1300, -398, 180, 153, 153, 153
L 1300, -398, 180, 1297, -423, 170, 153, 153, 153
L 1297, -423, 170, 1101, -423, 206, 153, 153, 153
L 1101, -423, 206, 1101, -397, 191, 153, 153, 153
L 1101, -397, 191, 1022, -398, 162, 153, 153, 153
L 1022, -398, 162, 1022, -477, 121, 153, 153, 153
L 1022, -477, 121, 1047, -477, 105, 153, 153, 153
L 1047, -477, 105, 1047, -524, 13, 153, 153, 153
L 1047, -524, 13, 1062, -528, 15, 153, 153, 153
L 1062, -528, 15, 1065, -523, 15, 153, 153, 153
L 1065, -523, 15, 1065, -487, 15, 153, 153, 153
L 1454, 662, -440, 1454, 662, -44, 153, 153, 153
L 1454, 662, -44, 1465, 679, -43, 153, 153, 153
L 1465, 679, -43, 1450, 684, -43, 153, 153, 153
L 1450, 684, -43, 1441, 694, -44, 153, 153, 153
L 1441, 694, -44, 1426, 699, -43, 153, 153, 153
L 1426, 699, -43, 1422, 708, -37, 153, 153, 153
L 1422, 708, -37, 1407, 705, -34, 153, 153, 153
L 1407, 705, -34, 1403, 682, -31, 153, 153, 153
L 1403, 682, -31, 1402, 678, -27, 153, 153, 153
L 1402, 678, -27, 1408, 652, -27, 153, 153, 153
L 1408, 652, -27, 1414, 646, -27, 153, 153, 153
L 1414, 646, -27, 1427, 640, -27, 153, 153, 153
L 1427, 640, -27, 1440, 629, -28, 153, 153, 153
L 1440, 629, -28, 1443, 648, -34, 153, 153, 153
L 1512, 662, -491, 1512, 662, -49, 153, 153, 153
L 1512, 662, -49, 1516, 646, -46, 153, 153, 153
L 1516, 646, -46, 1529, 646, -43, 153, 153, 153
L 1529, 646, -43, 1549, 660, -43, 153, 153, 153
L 1549, 660, -43, 1558, 672, -41, 153, 153, 153
L 1558, 672, -41, 1564, 671, -40, 153, 153, 153
L 1564, 671, -40, 1574, 679, -39, 153, 153, 153
L 1574, 679, -39, 1566, 688, -28, 153, 153, 153
L 1566, 688, -28, 1555, 694, -29, 153, 153, 153
L 1555, 694, -29, 1546, 714, -28, 153, 153, 153
L 1546, 714, -28, 1549, 721, -29, 153, 153, 153
L 1549, 721, -29, 1542, 725, -29, 153, 153, 153
L 1542, 725, -29, 1527, 719, -32, 153, 153, 153
L 1527, 719, -32, 1505, 700, -36, 153, 153, 153
L 1505, 700, -36, 1491, 694, -30, 153, 153, 153
L 1491, 694, -30, 1501, 679, -50, 153, 153, 153
L -1550, -1352, -451, -1550, -1352, -45, 153, 153, 153
L -1550, -1352, -45, -1545, -1337, -46, 153, 153, 153
L -1545, -1337, -46, -1554, -1330, -45, 153, 153, 153
L -1554, -1330, -45, -1570, -1335, -42, 153, 153, 153
L -1570, -1335, -42, -1578, -1332, -40, 153, 153, 153
L -1578, -1332, -40, -1594, -1335, -37, 153, 153, 153
