L 3735, 6890, -1697, 3735, 6890, -169, 153, 153, 153
L 3735, 6890, -169, 3760, 6807, -174, 153, 153, 153
L 3760, 6807, -174, 3859, 6717, -85, 153, 153, 153
L 3859, 6717, -85, 3911, 6549, -92, 153, 153, 153
L 3911, 6549, -92, 3911, 6358, -106, 153, 153, 153
L 3911, 6358, -106, 3911, 6160, -116, 153, 153, 153
L 3911, 6160, -116, 3911, 5896, -106, 153, 153, 153
L 3911, 5896, -106, 3920, 5586, 0, 153, 153, 153
L 3920, 5586, 0, 3972, 5425, 139, 153, 153, 153
L 3972, 5425, 139, 3889, 5210, 141, 153, 153, 153
L 3889, 5210, 141, 3886, 5003, 199, 153, 153, 153
L 3886, 5003, 199, 3823, 4921, 212, 153, 153, 153
L 3823, 4921, 212, 3731, 4859, 209, 153, 153, 153
L 3731, 4859, 209, 3636, 4809, 199, 153, 153, 153
L 3636, 4809, 199, 3412, 4610, 180, 153, 153, 153
L 3412, 4610, 180, 3305, 4510, 168, 153, 153, 153
L 3305, 4510, 168, 3194, 4406, 147, 153, 153, 153
L 3194, 4406, 147, 3024, 4243, 135, 153, 153, 153
L 3024, 4243, 135, 2960, 4190, 138, 153, 153, 153
L 2960, 4190, 138, 2879, 4038, 175, 153, 153, 153
L 2879, 4038, 175, 2861, 4000, 205, 153, 153, 153
L 2861, 4000, 205, 2821, 3883, 217, 153, 153, 153
L 2821, 3883, 217, 2750, 3698, 256, 153, 153, 153
L 2750, 3698, 256, 2814, 3482, 337, 153, 153, 153
L 2814, 3482, 337, 2860, 3288, 326, 153, 153, 153
L 2860, 3288, 326, 2949, 3051, 311, 153, 153, 153
L 2949, 3051, 311, 3051, 2865, 353, 153, 153, 153
L 3051, 2865, 353, 3082, 2809, 348, 153, 153, 153
L 3082, 2809, 348, 3281, 2681, 322, 153, 153, 153
L 3281, 2681, 322, 3664, 2552, 304, 153, 153, 153
L 3664, 2552, 304, 3868, 2483, 318, 153, 153, 153
L 3868, 2483, 318, 3883, 2458, 328, 153, 153, 153
L 3883, 2458, 328, 3911, 2454, 337, 153, 153, 153
L 3911, 2454, 337, 3912, 2338, 331, 153, 153, 153
L 3912, 2338, 331, 4053, 2093, 306, 153, 153, 153
L 4053, 2093, 306, 4305, 1835, 336, 153, 153, 153
L 4305, 1835, 336, 4339, 1994, 443, 153, 153, 153
L 4339, 1994, 443, 4395, 1949, 477, 153, 153, 153
L 4395, 1949, 477, 4613, 1928, 468, 153, 153, 153
L 4613, 1928, 468, 4877, 1894, 453, 153, 153, 153
L 4877, 1894, 453, 5097, 1889, 442, 153, 153, 153
L -4030, 2426, 3813, -4030, 2426, 382, 153, 153, 153
L -4030, 2426, 382, -3843, 2442, 372, 153, 153, 153
L -3843, 2442, 372, -3574, 2437, 355, 153, 153, 153
L -3574, 2437, 355, -3299, 2408, 410, 153, 153, 153
L -3299, 2408, 410, -2949, 2358, 491, 153, 153, 153
L -2949, 2358, 491, -2859, 2304, 477, 153, 153, 153
L -2859, 2304, 477, -2648, 1996, 497, 153, 153, 153
L -2648, 1996, 497, -2608, 1566, 507, 153, 153, 153
L -2608, 1566, 507, -2541, 1429, 494, 153, 153, 153
L -2541, 1429, 494, -2477, 1362, 481, 153, 153, 153
L -2477, 1362, 481, -2317, 1194, 601, 153, 153, 153
L -2317, 1194, 601, -2162, 1015, 584, 153, 153, 153
L -2162, 1015, 584, -2003, 757, 625, 153, 153, 153
L -2003, 757, 625, -1916, 687, 663, 153, 153, 153
L -1916, 687, 663, -1867, 613, 663, 153, 153, 153
L -1867, 613, 663, -1835, 510, 659, 153, 153, 153
L -1835, 510, 659, -1807, 435, 653, 153, 153, 153
L -1807, 435, 653, -1744, 421, 646, 153, 153, 153
L -1744, 421, 646, -1642, 402, 638, 153, 153, 153
L -1642, 402, 638, -1535, 381, 628, 153, 153, 153
L -1535, 381, 628, -1376, 362, 610, 153, 153, 153
L -1376, 362, 610, -1144, 400, 587, 153, 153, 153
L -1144, 400, 587, -1051, 416, 578, 153, 153, 153
L -1051, 416, 578, -955, 431, 565, 153, 153, 153
L -955, 431, 565, -747, 459, 542, 153, 153, 153
L -747, 459, 542, -567, 472, 524, 153, 153, 153
L -567, 472, 524, -401, 508, 506, 153, 153, 153
L -401, 508, 506, -276, 528, 488, 153, 153, 153
L -276, 528, 488, -184, 447, 477, 153, 153, 153
L -184, 447, 477, -46, 328, 459, 153, 153, 153
L -46, 328, 459, 27, 174, 441, 153, 153, 153
L 27, 174, 441, 30, 28, 427, 153, 153, 153
