EverQuestMaillingList　『EQ非効率研究会』　メンバーリスト　Ver1.2,,,,
最終更新：2000/5/30,,,,

正規メンバー,,,,
No．,Crass,Name,読み,超独断Nameコメント
1,DRU,Altamille,あるたみーゆ,＜あるたみれ＞だとばかり思ってました。　今やEQ内ではRarepop。（泣）
2,SHM,Bearwis,べあういず（？）,貴重なHighLvSHM、Nameの由来は＜賢いクマ＞なのかな？（笑）　なんでしょう？
3,WAR,Bosskinq,ぼすきんきゅー,元＜Ｂｏｓｓｋｉｎｇ＞だったのをＧＭに変えさせられた話は超有名。 ３０さんと同一人物。
4,WIZ,Brunhild,ぶりゅんひると,銀河英雄伝説系、北欧神話系ではないようです。２nd以降もそれ系。
5,CLR,Caldyen,かるどいぇん（？）,ジェネレータ作成で、本人も読み知らず。（笑）　正式読み方募集中？？
6,ENC,Crabapple,くらぶあっぷる,名前のセンスには脱帽、２ndのMoegiとも仲良しです。実は夫婦EQ状態らしいです。
7,PAL,Daichan,だいちゃん,NBA所属筆頭PAL。純日本人系、こちらもRealName系で間違わないっぽい。
8,CLR,Eikic,えいき,最後のcはCLRのcなので発音はしないようです。
9,CLR,Enrye,えんらい,彼も読みにくい系。（笑）　最近Goizou的に一緒が多いです。　悪友指定。（爆笑）
10,SHM,Ethelwulf,えせるうるふ,読みにくい系ですね、つづりはややドイツ系でしょうか？
11,PAL,Finjuke,ふぃんじゅーく,＜ふぃんじゅけ＞と呼ばれることが多い、あだ名のさらにアナグラム。本気Guild＜KV＞。
12,WAR,Goizou,ごいぞう,ご存知、蒼き白熊。（笑）　　JPNだとばればれのNBAの歩く広告塔。　マイナスイメージ多し！？
13,SHM,Graymom,ぐれいまむ,多分、このMLが見られる環境にあると思うのでList入り。（謎笑）　RolePlay派。
14,ENC,Gyabann,ぎゃばん,元NBAの元宇宙刑事（笑）　最後の重ねｎは読まない慣わしっぽい。
15,WAR,Hetuar,へっつぁあー,明らかにドイツ系、２ndがハインケルなのがさらに。（笑）
16,CLR,Hiyaha,ひやは,早くもLv52の廃人CLR。只今NAB移籍勧誘中。（笑）　語源は不明。
17,RNG,Izou,いぞう,２ｎｄを持たずひたすらに探求を続ける孤高のＲＮＧ。　こちらも本気の＜KV＞所属
18,PAL,Kanetsugu,かねつぐ,HighKeep時代からの知り合い。　２nd Lindos、３ｒｄ DousetuとNameの方向性は不明。（笑）
19,PAL,Kilio,きりお,最近Mail投稿は全く見てないですね、そう云えばGameでも会ってないなぁ。　語源は不明。
20,MNK,Kisaragi,きさらぎ,語源はなんでしょうか？　外人からはアニメ系と思われるらしいです。（笑）
21,WAR,Lalpher,らるふぁー,オリジナル系のNameとのことです。　響きはカッコいい系ですがGoizouの悪友の1人。（笑）
22,WIZ,Maaz,まーず,横山光輝系でしょうか？　でも、 ゴットマーズで無いことを祈りましょう。　NBA来ない？（笑）
23,CLR,Maco,まこ,NBA所属CLR。　間違わない率Top確定。（笑）
24,SHM,Pafupafu,ぱふぱふ,本人曰くドラゴンボール＞系。（笑）　1人ボケ突っ込みの芸風は他の追従を許さない。
25,CLR,Rhoads,ろーず,読みづらい系でしょうか？　＜ろあどす＞だと思っていたのは私だけ？（笑）
26,MNK,Rise,らいず,NBAのGuildMaster。決して＜りせ＞ではありません。　要注意。
27,CLR,Saladane,さらだね,NBA所属CLRのわがままCLR（笑）。最近は２ndWarにご執心っぽい。
28,DRU,Saori,さおり,Guild＜Fortunate＞所属。　実に女性らしい良いNameですが、由来はRealNameでしょうか。
29,WIZ,Seraphina,せらふぃな,Tonynyoともに移籍して来た大物Wiz。　２ndNameも合わせて、Nameの長さはE`ci１番かも。
30,BRD,Shepherd,しぇふぁーど,＜しぇぱーど＞だと犬みたいだから濁らないらしいです。　Guild＜HawkEye＞所属。
31,CLR,Suezo,すえぞう,全てのキャラが＜Sue＞シリーズの＜HawkEye＞所属CLR。　由来はRealNameかな？
32,DRU,Tetsuro,てつろう,NBA所属Dru。　今は亡きYoshiwoのRealFriend。　最近見てないなぁ。　元気？
33,RNG,Tonynyo,とにぃにょ,あだ名が由来らしいがかなりサッカー系。（笑）　字ずらは柔らかいが、響きが良い名前です。
34,PAL,Toya,とーや,＜とや＞ではなく伸ばすのが正式らしいです。　EpicのGuildMasterを襲名。
35,PAL,Umiiro,うみいろ,Altaのお友達でGuild＜Kizna＞所属。　実に綺麗な名前で印象深いです、由来はなんでしょう？
36,DRU,Uricle,うりくる,E`ciでは非常勤。　メインキャラはQuelliousでGuild＜Sirokuma＞のGMを勤めてます。
37,WIZ,Zips,じっぷす,理屈屋にして廃人。　旧友＜Ishi＞とのアカーイブコンビとの噂もあったが実はオリジナル系。
,,,,
,,,,
,,,,注 ： Listは＜Name＞のアルファベット順になっています。
その他（笑）,,,,
,MNK,Yoshiwo,よしお,今は引退したNBAMonk王国の一翼。
,MNK,Taroh,たろう,こちらはEQ休眠中のNBA所属Monk。　UOなどせずに戻ってきなさい。（笑）
,,,,
