# name, trival, tag, category, ingredient (1:SEP:2), information, image, type, yields
Beer Braised Bear,68,#Beer Braised Bear,Beer Braised Meat,Bear Meat:SEP:Spices\nShort Beer,Commonあたりだと比較的楽に手に入りそうですね。,../icon/beerbraised.gif,meal / Str+2 Int-1,2
Beer Braised Gator,68,#Beer Braised Gator,Beer Braised Meat,Gator Meat:SEP:Spices\nShort Beer,オアシスあたりで稼いでいる人は暇つぶしにでも作ってみては？,../icon/beerbraised.gif,meal / Str+2 Int-1,2
Beer Braised Lion,68,#Beer Braised Lion(2),Beer Braised Meat,Lion Meat:SEP:Spices\nShort Beer,未確認,../icon/beerbraised.gif,meal / Agi+2 Int-1,2
Beer Braised Mammoth,68↓,#Beer Braised Mammoth,Beer Braised Meat,Mammoth Meat:SEP:Spices\nShort Beear,未確認,../icon/beerbraised.gif,banquet / Str+3 Int-1,5
Beer Braised Rat,68,#Beer Braised Rat,Beer Braised Meat,Rat Meat:SEP:Spices\nShort Beer,未確認,../icon/beerbraised.gif,meal / Dex+2 Int-1,1
Beer Braised Wolf,68,#Beer Braised Wolf(2),Beer Braised Meat,Wolf Meat:SEP:Spices\nShort Beer,中盤のスキル上げにこのBeerBraisedシリーズはもってこいです。\n元手も取れないかもしれませんが。,../icon/beerbraised.gif,meal / Sta+2 Int-1,2
Beetle Eye Pie,142,#Beetle Eye Pie(5),Cake,K:Clump of Dough:K\nFire Beetle Eye:SEP:Spices\nP:Pie Tin:P(return),このパイのみちゃんとしたレシピ通りで作ることができます。\n一度に５個出てくるのも評価高め（Ｗ,../icon/amipie.png,meal,5
Berry Pie,142,#Berry Pie(2),Cake,K:Clump of Dough:K\nBeries(Foraged item):SEP:<S>Spices</S>\nP:Pie Tin:P(return),レシピ通りではなく、<B>スパイスを抜くことが</B>重要。\n他の多くのパイがそうです。,../icon/amipie.png,hearty meal,2
Birthday Cake,162,#Birthday Cake,Cake,K:Clump of Dough:K\nK:Winter Chocolate:K:SEP:Frosting\nP:Cake Round:P(return),なぜバースディかは謎ですが\nとりあえずめでたい感じのアイコンですね。,../icon/birth.png,meal,2
Birthday Cake Sliced,15,#Birthday Cake sliced,Cake,K:Birthday Cake:K:SEP:-,Oven/SpitにBirthdayCakeを1個だけ入れてコンバイン。<BR>すると10分割されたCakeになります。<BR>しかし、分割されてもWt1.0はちと重いかも。,../icon/cakesliced.png,snack,10
Chocolate Cookies,148,#Chocolate Cookies,Cake,K:Clump of Dough:K\nK:Winter Chocolate:K:SEP:Spices\nFrosting,親しい人へのプレゼントにいかが?,../icon/chococookie.gif,snack,2
Chocolate Muffin,155,#Chocolate Muffin,Cake,K:Clump of Dough:K\nFruit(Foraged item)\nK:Winter Chocolate:K:SEP:P:Muffin Tin:P,この色合いがなんとも言えませんね。<BR>人にあげたら「なにこれ？」って聞かれること<BR>請け合いです。,../icon/chocomuffin.png,snack,2
Clump of Dough,17,#Clump of Dough(1),Cake,Snake egg(basilisk.aviak等も可):SEP:Cup of Flour\nMilk\nContainer:Mixing Bowl,ミキシングボウルを使って作ります。<BR>FlourですがQeynosで１ｃｐで売っているFlour<BR>（通常が買値６ｃｐ、WT0.2に対し、１ｃｐ、0.1）<BR>でも全く同じ物が作成可能です。<br>Snake egg...1個<br>Aviak egg(loot)...7個<br>Aviak egg(forage)...5個<br>Alligator egg...5個<br>Cockatrice egg...5個<br>Griffon egg...7個<br>Basilisk egg(loot)...15個<br>Basilisk egg(forage)...5個<br>という具合に使う卵によってできあがる個数が違います。,../icon/dough.gif,snack,1
Cookies,105,#Cookies(1),Cake,K:Clump of Dough:K:SEP:Spices\nFrosting\n(Cookie Cutter),型によって４種類のクッキーが作れますが<BR>売値等は同じなので割愛。<BR>型はPotterかSmithに作ってもらいましょう。<BR>型が無くてもただのCookie が作れるようです。<BR>Yuhditさん、Ｔｈｘ！,../icon/cookie.gif,snack,1
